분류	이름	직업/신분	주요 위치	역할	난이도별 특징 (이지/노말/하드/Alon)
**주요 NPC**	**알리샤 (Alisha)**	선구자의 후예 / 정보상	주요 층계의 안전지대, 비밀 상점	메인 퀘스트의 핵심 조력자. 미궁의 비밀과 선구자의 행적에 대한 단서를 제공하며, 플레이어의 성장을 돕는다. 희귀 아이템을 판매하기도 한다.	**이지:** 항상 친절하게 길을 안내해주고, 아이템을 할인해 줌. / **노말:** 정당한 대가를 요구하며, 플레이어의 선택을 존중함. / **하드:** 냉소적이며, 플레이어의 능력을 끊임없이 시험함. 때로는 위험한 정보를 주기도 함. / **Alon:** 등장하지 않음. 그녀의 '찢겨진 일지'만이 발견됨.
**주요 NPC**	**발타자르 (Balthazar)**	강철의 대족장	40층 대장간 왕좌	화산 오크 부족의 리더. 플레이어의 힘을 시험하는 관문이자, 이후 미궁의 상층부에 대한 정보를 주는 조언자. (선택에 따라 적대/우호)	**이지/노말:** 전투 후 플레이어를 인정하고 조력자가 됨. / **하드:** 플레이어를 끝까지 적으로 간주하며, 이후에도 그를 따르는 잔존 세력이 플레이어를 공격함. / **Alon:** 등장하지 않음. 그의 '텅 빈 왕좌'만이 남아있음.
**주요 NPC**	**'고요한 현자' 아인츠하르**	은둔 고수	특정 층의 숨겨진 장소 (예: 77층)	모든 무기를 통달한 전설적인 인물. 플레이어에게 최상급 무기술 [아이락 무기술]을 전수해 줄 수 있는 유일한 존재.	**전 난이도 공통:** 그의 혹독한 시련을 통과해야만 만날 수 있으며, 그의 기준에 미치지 못하면 가르침을 주지 않음. 난이도에 따라 시련의 강도가 달라짐.
**주요 NPC**	**'감시자' 아르고스**	미궁의 시스템 관리자	99층 감시자의 눈	미궁의 모든 것을 지켜보는 존재. 플레이어의 여정을 기록하고, 마지막 관문으로서 그의 자격을 시험한다.	**이지/노 "말:** 플레이어의 여정을 인정하고 시험함. / **하드:** 미궁의 오류(플레이어)를 제거하려는 적대적 존재. / **Alon:** 플레이어에게 미궁의 운명을 맡기는 질문을 던짐.
**상인**	**톰(Tom) a.k.a. 톰 아저씨**	잡화상인	1~10층 안전지대 (쉼터)	가장 처음 만나는 상인. 기초적인 물약, 횃불, 식량 등을 판매한다. 미궁의 기본적인 정보를 알려준다.	**이지/노말:** 항상 같은 자리에서 장사함. / **하드:** 몬스터에게 쫓겨 위치가 바뀌거나, 물품 가격이 비싸짐. / **Alon:** 고블린에게 살해당한 시체로 발견됨. 그의 '거래 장부'를 통해 아이템 획득.
**상인**	**이그나르 스톤해머**	드워프 무기상인	주요 층계의 안전지대 (15, 35층 등)	고품질의 무기와 방어구를 판매하는 드워프 상인. 플레이어의 장비를 수리해주기도 한다.	**이지/노말:** 정직한 가격에 좋은 물건을 판매. / **하드:** 희귀 재료를 가져오지 않으면 최고급 물품은 보여주지도 않음. / **Alon:** 등장하지 않음. 그의 버려진 상점이 발견됨.
**상인**	**세레나 (Serena)**	마법 상인	주요 층계의 안전지대, 마법사 탑 폐허	마법 스크롤, 시약, 마력이 깃든 장신구를 판매하는 신비로운 여성.	**이지/노말:** 마법에 대한 조언을 해줌. / **하드:** 플레이어의 마력이 낮으면 무시함. / **Alon:** 등장하지 않음.
**상인**	**'그림자' 제크 (Zeke the Shadow)**	암시장 상인	무작위 층의 숨겨진 통로	일반 상점에서는 팔지 않는 희귀하고 위험한 물건(독, 저주 아이템, 금지된 마도서 등)을 판매한다. 낮은 확률로 조우.	**전 난이도 공통:** 플레이어의 성향(선/악)에 따라 판매 목록이 달라짐. 거래를 잘못하면 뒤통수를 치기도 함.
**대장장이**	**브록 (Brok)**	대장장이	주요 층계의 안전지대	플레이어가 가져온 재료로 장비를 제작하거나 강화해주는 실력 좋은 대장장이. 도전적인 모험가를 좋아한다.	**전 난이도 공통:** 어려운 몬스터에게서 얻은 재료를 가져다주면 호감도가 오르고, 숨겨진 제작 목록이 해금됨. 호감도가 낮으면 강화 성공 확률이 미세하게 낮아짐.
**퀘스트**	**레아 (Leah)**	모험가 지망생	1~10층 고블린 감옥	미궁에 대한 환상을 품고 들어왔다가 고블린에게 잡힌 소녀. 그녀를 구출하는 것이 초반 주요 퀘스트 중 하나.	**이지/노말:** 구출 후 안전하게 귀환하며 플레이어에게 감사함. / **하드:** 구출 과정에서 죽을 수 있으며, 이는 플레이어에게 정신적 충격을 줌. / **Alon:** 등장하지 않음. 차가운 시체로 발견됨.
**퀘스트**	**카인 (Cain)**	복수심에 불타는 전사	21~30층 폐허 마을 입구	역병으로 가족을 잃고, 그 원흉을 찾아 복수하려는 전사. 플레이어에게 협력을 요청한다.	**이지/노말:** 플레이어와 동행하며 보스전에서 도움을 줌. / **하드:** 복수심에 눈이 멀어 무모하게 돌진하다가 플레이어를 위험에 빠뜨림. / **Alon:** 이미 복수에 실패하고 망령이 되어 플레이어를 공격함.
**퀘스트**	**'기억을 잃은 영혼'**	영혼	무작위 층계	자신이 누구인지, 왜 죽었는지 기억하지 못하는 영혼. 자신의 유품을 찾아달라고 부탁한다.	**전 난이도 공통:** 유품을 찾아주면 자신의 정체와 함께 미궁의 숨겨진 이야기를 알려주고 성불함.
**퀘스트**	**고대의 학자**	인간형	61~70층 숨겨진 연구실	미궁의 진리를 탐구하다 갇혀버린 학자. 플레이어의 지혜를 시험하는 퀘스트를 줌.	**이지/노말:** 어려운 문제에 대한 힌트를 줌. / **하드:** 단 한 번의 기회만 주며, 틀리면 다시는 퀘스트를 주지 않음. / **Alon:** 등장하지 않음. 그의 연구 일지만이 남아있음.
**퀘스트**	**마지막 거인**	거인	75~77층 거인의 무덤	종족의 마지막 생존자. 플레이어에게 자신의 종족이 남긴 유물을 모아달라는 마지막 소원을 부탁한다.	**이지/노말:** 퀘스트 완료 시 강력한 유물을 보상으로 줌. / **하드/Alon:** 유물을 모아오면, 플레이어에게 자신의 힘을 계승해주고 평화롭게 죽음을 맞이함.
**직업 스승**	**'바람의 춤꾼' 실피르**	도적/암살자 스승	15층 숨겨진 은신처	민첩하고 빠른 움직임을 가르치는 스승. [환영 보법] 등 상급 회피/암살 스킬을 가르쳐준다.	**이지/노말:** 일정량의 돈을 내면 기술을 가르쳐 줌. / **하드/Alon:** 까다로운 잠입/암살 시험을 통과해야만 기술을 전수해 줌.
**직업 스승**	**'불꽃의 심장' 이그니스**	마법사 스승	35층 화산 속 동굴	강력한 파괴 마법을 연구하는 마법사. [메테오 스트라이크] 같은 최상급 마법의 단서를 제공한다.	**이지/노말:** 희귀한 마법 재료를 가져다주면 가르쳐 줌. / **하드/Alon:** 자신과의 마법 대결에서 승리해야만 가르침을 받을 자격을 얻음.
**직업 스승**	**'철벽' 아이기스**	수호기사 스승	주요 도시의 성채	절대 방어의 기술을 연마한 기사. [절대 방어] 등 최상급 방어 스킬을 가르쳐준다.	**이지/노말:** 기사단의 명예를 높이는 퀘스트를 완료하면 가르쳐 줌. / **하드/Alon:** 자신을 따르는 병사들을 이끌고 모의 전투에서 승리해야 함.
**특수**	**'광기의 화가'**	인간	41~50층 숨겨진 화실	고신의 모습을 그리려다 미쳐버린 화가. 플레이어에게 기괴한 그림을 그려주거나, 그림 속으로 끌어들여 전투를 벌이게 한다.	**전 난이도 공통:** 그를 쓰러뜨리면 '살아있는 물감' 등 특수한 연금술 재료를 얻을 수 있음.
**특수**	**'최초의 모험가의 영혼'**	언데드/영체	미궁의 시작점 (2회차 플레이 시)	미궁을 처음 탐험했으나 실패한 영혼. 2회차 플레이어의 자격을 시험하며, [선구자] 칭호를 강화시켜 준다.	**전 난이도 공통:** 2회차 플레이 이상에서만 등장하는 히든 보스이자 NPC.
**특수**	**'창조주의 단편'**	개념	무작위 층계	미궁의 창조주가 남긴 기억이나 의지의 파편. 플레이어에게 철학적인 질문을 던지며, 대답에 따라 특별한 버프나 아이템을 준다.	**전 난이도 공통:** 매우 낮은 확률로 조우하는 히든 NPC. 플레이어의 선택과 성향을 시험함.
**상인**	**'미식가' 고든 (Gordon the Gourmet)**	요리사 / 식료품 상인	21~30층 늪지대 안전지대, 75~77층 거인 부락	각 층계의 특이한 몬스터 재료로 만든 요리나 희귀 식재료를 판매한다. 강력한 버프 효과가 있는 음식을 제공한다.	**이지/노말:** 재료만 가져다주면 맛있는 요리를 만들어 줌. / **하드:** 목숨을 위협하는 위험한 재료(예: 바실리스크의 눈알)를 구해오라는 무리한 요구를 함. / **Alon:** 등장하지 않음. 그의 '전설의 레시피'가 담긴 책만 발견됨.
**상인**	**'수집가' 코넬리우스**	유물 감정사 / 고고학자	61~70층 거대 도서관 입구, 81~90층 기계 무덤 입구	플레이어가 유적에서 발굴한 '미감정 유물'을 감정해주거나 비싼 값에 사들인다. 고고학 관련 퀘스트를 제공한다.	**전 난이도 공통:** 감정 결과에 따라 유물이 전설적인 아이템이 되거나, 저주받은 함정이 발동되기도 함. 그의 감정 실력 자체도 100% 신뢰할 수는 없음.
**상인**	**'펫 마스터' 리나 (Lina the Pet Master)**	조련사 / 동물 상인	주요 도시, 51~60층 하늘 정원	희귀한 몬스터의 알이나, 길들인 동물 동료를 판매한다. 동물 교감 스킬에 대한 조언을 해준다.	**이지/노말:** 기본적인 동물 동료를 판매. / **하드:** 매우 희귀하지만 길들이기 어려운 '야생의 알'만 판매. 부화에 실패하면 강력한 몬스터가 태어남. / **Alon:** 등장하지 않음. 그녀의 버려진 동물 농장에서 탈출한 흉포한 동물들을 마주침.
**상인**	**'도박사' 릭 (Rick the Gambler)**	게임 마스터 / 불법 상인	주요 도시의 뒷골목	주사위, 카드 게임 등 도박판을 운영한다. 게임에서 이기면 희귀 아이템을 주지만, 지면 가진 것을 빼앗긴다. [강운] 스킬에 영향을 받는다.	**전 난이도 공통:** 플레이어의 '운' 스탯에 따라 승률이 변동. 낮은 확률로 플레이어의 스킬 하나를 걸고 벌이는 위험한 도박을 제안함.
**퀘스트**	**'저주받은 기사' 모드레드**	저주받은 기사	25~27층 폐허 마을 교회	죽지 못하는 저주에 걸린 기사. 플레이어에게 자신을 죽여 저주를 풀어달라고 부탁한다. 하지만 그는 매우 강력하다.	**이지/노말:** 그의 약점을 알려주며 정정당당한 대결을 요청. / **하드:** 저주 때문에 이성을 잃고 플레이어를 무차별적으로 공격. / **Alon:** 이미 완전히 타락하여 '심연의 기사'가 되어 길을 막는 보스로 등장.
**퀘스트**	**'기계 심장을 찾는 소녀' 티나**	사이보그 소녀	81~90층 기계 무덤	자신의 잃어버린 '인간의 마음'을 되찾기 위해, 전설적인 부품 '하트 코어'를 찾아다니는 사이보그 소녀.	**이지/노말:** 플레이어와 동행하며 기계 장치로 전투를 도움. / **하드:** 그녀의 시스템에 심어진 바이러스가 주기적으로 폭주하여, 플레이어를 적으로 인식하고 공격함. / **Alon:** 이미 마음을 찾는 것을 포기하고, 도시의 일부가 된 채 슬픈 노래만 부르고 있음.
**퀘스트**	**'최후의 용기사' 아르투르**	용기사	91~94층 용의 안식처	자신의 파트너였던 용을 잃고 복수를 맹세한 늙은 용기사. 용을 죽인 존재에 대한 정보를 모으고 있다.	**이지/노말:** 플레이어에게 용과 싸우는 법을 가르쳐주며 조력자가 됨. / **하드/Alon:** 복수심에 눈이 멀어, 모든 용을 증오하며 플레이어의 선택에 따라 적으로 돌변하기도 함.
**퀘스트**	**'진실을 기록하는 자' 헤로도투스**	역사가 / 서기관	61~70층 거대 도서관	미궁의 '진짜 역사'를 기록하기 위해 모든 것을 바친 인물. 플레이어에게 왜곡된 역사의 진실을 찾아달라는 퀘스트를 준다.	**전 난이도 공통:** 그의 퀘스트를 진행하면, 미궁의 신들이 숨기고자 했던 충격적인 진실(예: 고신과의 전쟁의 진실)을 알게 됨.
**직업 스승**	**'대자연의 목소리' 세르니**	드루이드/정령사 스승	51~60층 하늘 정원	자연과 정령의 힘을 다루는 법을 가르쳐주는 스승. [정령 계약]이나 [테라포밍] 같은 상급 스킬의 단서를 제공한다.	**이지/노말:** 자연을 존중하는 퀘스트(예: 오염 정화)를 완료하면 가르침을 줌. / **하드/Alon:** 자연을 파괴하는 플레이어를 적으로 간주하며, 그녀가 지키는 숲 전체가 플레이어를 공격함.
**직업 스승**	**'혼돈의 주창자' 벨리알**	흑마법사/악마 계약자 스승	41~50층 고신 신전의 숨겨진 방	금지된 힘을 연구하는 위험한 인물. 강력한 흑마법이나 [악마와의 계약] 스킬을 가르쳐주지만, 항상 그에 상응하는 대가(최대 체력 감소, 영혼의 일부 등)를 요구한다.	**전 난이도 공통:** 플레이어의 성향이 '악'에 가까울수록 더 강력한 기술을 가르쳐줌. 그와의 거래는 항상 플레이어에게 위험을 초래함.
