No.	분류	스킬명	난이도	유형	설명	획득 경로/필요 스킬
1	초월	[스킬 직조]	초월	시스템 개입	미궁의 법칙, 그 근원에 닿은 자에게 허락된 창조의 권능. 기존 스킬의 '개념'을 실처럼 뽑아내어, 세상에 없던 새로운 스킬을 엮어낼 수 있다.	(초 극악 난이도 / 유일무이 퀘스트) 미궁의 진실을 깨닫고, 3개의 경계를 넘은 증표(신의 눈물, 고신의 심장, 불멸자의 영혼 정수)를 모아 '미궁의 축'에서 시스템의 최종 방어기제 '아노말리'를 쓰러뜨리면 계승.
2	궁극	[천상천하 유아독존]	최상	패시브/액티브	시공간의 제약을 벗어난 검과, 허공을 밟는 신법이 만나 도달한 무의 경지. 세계 그 자체가 나의 검이다.	[심검] 100% + [능공허도] 100% 달성 후, '정신의 방' 시련에서 육체를 움직이지 않고 '검의 현자'를 쓰러뜨렸을 때.
3	궁극	[윤회안]	최상	패시브/액티브	삶과 죽음의 순환, 그 자체를 관장하는 눈. 생명을 죽음으로, 죽음을 생명으로 되돌리는 권능.	[아크 리치] 100% + [생명의 나무] 100% 달성 후, '저주받은 땅'을 정화하며 삶과 죽음 모두를 구원했을 때.
4	궁극	[라그나로크]	최상	액티브	종말의 불꽃과 모든 것을 얼리는 냉기가 충돌하여, 세상을 끝내는 신들의 황혼을 재현한다.	[유성 낙하] 100% + [절대 영도] 100% 달성 후, '불의 심장'과 '얼음의 눈물'을 동시에 획득하여 그 힘의 충돌에서 살아남았을 때.
5	궁극	[게이트 오브 바빌론]	최상	패시브/액티브	자신이 지금까지 소유했던 모든 무기를 '보물고'에 저장하고, 그것을 공간의 문을 통해 무한히 투척하는 왕의 권능.	[병장기 통합술] 100% + [골렘 마스터] 100% 달성 후, '수집가' 업적을 달성하고 '차원의 열쇠'를 획득했을 때.
6	궁극	[올마이티]	최상	액티브	전지(全知)와 전능(全能). 미래를 보고, 그 미래를 자신의 의지대로 바꾸는 신의 영역.	[아카식 레코드] 100% + [인과 역전] 100% 달성 후, '되돌릴 수 없는 선택' 퀘스트에서 제3의 히든 루트를 개척했을 때.
7	궁극	[이모탈 버서커]	최상	패시-브/액티브	죽음조차 두렵지 않은 광전사. 죽고 부활할수록 더욱 강해지고 흉포해진다.	[이모탈] 80% + [광전사] 80% 달성 후, 레이드 전투에서 10번 이상 죽고 부활하면서도 포기하지 않고 승리했을 때.
8	궁극	[오버로드]	최상	패시브/액티브	신을 섬기는 것을 넘어, 스스로가 신이 되어 모든 것을 지배하려는 마왕의 길.	[유아독존] 80% + [하이 프리스트] 80% 달성 후, 자신을 섬기던 신을 배신하고 그 권능을 빼앗았을 때.
9	진화형	[심연의 검귀]	상	패시브/액티브	마검이 지닌 저주와 순수한 검기가 뒤섞여, 검귀(劍鬼)의 영역에 들어선다. 베는 것만으로도 주변의 생명을 오염시킨다.	[마검] 100% + [검기] 100% 달성 후, '마검'으로 생명력이 없는 대상을 순수 [검기]만으로 100번 이상 파괴했을 때.
10	진화형	[부동명왕]	상	패시브/액티브	흔들리지 않는 육체와 고요한 마음이 하나가 되어, 그 어떤 공격에도 흔들리지 않는 절대 방어의 경지.	[금강불괴] 100% + [명상] 100% 달성 후, 보스의 필살기를 피하거나 막지 않고 맨몸과 [명상]으로 버텨냈을 때.
